                                varietal                                | count 
------------------------------------------------------------------------+-------
 Garnacha Tintorera                                                     |     2
 Moscato Reale                                                          |     1
 Hondarrabi Zuri Hondarribi Beltza                                      |     1
 Nasco                                                                  |     2
 Crianza                                                                |     2
 Durif                                                                  |     2
 Foch                                                                   |     2
 Dindarella                                                             |     1
 Gamay noir                                                             |     1
 Carmenere                                                              |    55
 Müller Thurgau                                                         |     1
 Merlot Vidal                                                           |     1
 tempranillo grenache                                                   |     1
 Passerina                                                              |    24
 Catarratto Ansonica                                                    |     1
 Tempranillo Syrah Petit Verdot Graciano Tannat                         |     1
 Gaglioppo                                                              |     9
 Garnatxa                                                               |     3
 Meritage                                                               |     8
 Negroamaro                                                             |    89
 Xynomavro                                                              |     2
 Savagnin                                                               |     4
 Dechaunac                                                              |     1
 Rare Red Blend                                                         |     4
 Carlos Muscadine                                                       |     2
 Frontenac Gris                                                         |    50
 Cabernet Sauvignon Merlot Cabernet Franc Syrah                         |     1
 Pallagrello                                                            |     1
 Refosco                                                                |    12
 Grenache Syrah                                                         |     4
 Pinot blanc                                                            |     2
 St. Pepin                                                              |    13
 White Merlot                                                           |     1
 Le Crescent                                                            |     1
 Shiraz Cabernet                                                        |     1
 LaCrosse                                                               |    17
 Blind                                                                  |     1
 Vernacchia                                                             |     1
 2012                                                                   |     1
 Cabernet Sauvignon Blend                                               |     1
 Plavac Mali                                                            |     5
 Dry Riesling                                                           |     4
 Cuvee Brut                                                             |     1
 Niagara                                                                |   179
 Cayuga                                                                 |   112
 Tai (Tocai Friulano)                                                   |     1
 Cabernet Blanc                                                         |     1
 Shiraz-Sangiovese                                                      |     2
 L'Acadie Blanc                                                         |     3
 Roero Arneis                                                           |     2
 Schiava                                                                |     4
 Aleatico                                                               |     5
 Evangeline                                                             |     1
 Zinfandel Rose                                                         |     1
 Cabernet Sauvingnon                                                    |     1
 Tocai (Friulano)                                                       |     1
 Sangiovese Grosso                                                      |    40
 Sémillon and Sauvignon Blanc                                           |     1
 Bombino Bianco                                                         |     2
 Lagrein                                                                |    36
 Garganega                                                              |    84
 Ribona                                                                 |     2
 Marechal Foch blend                                                    |     1
 Terodelgo                                                              |     2
 Viognier Chenin Blanc Grenache Blanc                                   |     1
 Viura Macabeo                                                          |     1
 Chateauneuf Du Pape                                                    |     4
 Grenache Merlot Carignan Cinsault                                      |     1
 Riesling                                                               |  1591
 Rondo Regent                                                           |     1
 Tranzind                                                               |     1
 Muscat Cannelli                                                        |     1
 Tinta Negra Mole                                                       |     1
 Casavecchia                                                            |     4
 Aglianico di Taurasi                                                   |     2
 Vernaccia (Bianchetta Trevigiano)                                      |     1
 Furmint Harslevelű Zeta                                                |     2
 Monica                                                                 |     5
 Cabernet sauvignon                                                     |     5
 Reliance                                                               |     2
 Ravat                                                                  |     2
 Gewürztraminer                                                         |    62
 Galvez                                                                 |     1
 Vernatsch                                                              |     8
 Barbera                                                                |   417
 Orange Muscat                                                          |    33
 Prosecco Treviso                                                       |     1
 Sovereign Opal                                                         |     2
 Petit Sirah Petit Verdot                                               |     1
 Cayuga. St. Pepin                                                      |     1
 Vernatsch (Schiava)                                                    |     1
 Vernaccia                                                              |    28
 Aromella                                                               |     1
 Carbenet                                                               |     1
 Chardonnay Blanc de Blanc                                              |     2
 Blaufränkisch                                                          |     1
 Port Blend                                                             |     1
 Sauvignon Blanc Semillon                                               |     2
 Orion                                                                  |     5
 Steuben (aka Ambrosia)                                                 |     1
 Riesling/Vidal                                                         |     1
 Seyval Phoenix                                                         |     1
 Verdac                                                                 |     1
 Chardonel                                                              |   107
 Malbec Cabernet Sauvignon Syrah                                        |     1
 Pinot Nero Bianco                                                      |     1
 Brachetto                                                              |    25
 Cabernet merlot                                                        |     1
 Trebbiano d'Abruzzo                                                    |     1
 Viognier-Chardonnay                                                    |     1
 Chilean Malbec                                                         |     1
 Riesling gewürztraminer                                                |     2
 Vidal Chardonnay                                                       |     1
 Merlot Cabernet Sauvignon Malbec Barbera Syrah                         |     1
 Kinali yapincak                                                        |     2
 Maréchal Foch                                                          |     1
 Bacchus                                                                |    98
 Trincadeira                                                            |     2
 Muscat de Frontignan                                                   |     1
 Mead                                                                   |     1
 Melody                                                                 |     1
 Traminer Aromatico                                                     |     5
 Auxerrois                                                              |     6
 Semillon/chardonnay                                                    |     1
 Triomphe D'Alsace                                                      |     2
 Marquette                                                              |    46
